id;user_uuid;rolename
1;fc2df1f5-0009-45e1-bdb1-3498410def45;ROLE_ADMIN
2;7c01e990-7141-4e27-9444-a4693adfe00b;ROLE_ADMIN
3;02d4958b-0d2b-4249-a3c2-043ac0d7c613;ROLE_MEDECIN
4;5d7a53d5-cef7-42ae-b909-43ea28f63c9c;ROLE_MEDECIN
5;bce37795-7dc8-4866-a1db-44e1da365421;ROLE_MEDECIN
6;adcd1af2-5f5c-4b2d-86d3-11ab0b2067e9;ROLE_MEDECIN
7;b5e838bf-b684-4643-87ba-26cf542e7b0f;ROLE_MEDECIN
8;81cee2c7-0b50-4bed-9531-f70a2723c5de;ROLE_MEDECIN
9;76be6492-f290-44ab-a5d6-ce8b5c3db04c;ROLE_ADMIN
10;b8e54ece-c948-4b57-99dd-a57d0176f0e6;ROLE_MEDECIN
