id;user_uuid;time_start;time_end
1;eb730b44-0182-4eb4-995a-379cd47eee07;2022-05-19T10:35:31;2022-05-20T06:33:54
2;62dd9a05-c234-44eb-a2ce-063f875fe7d5;2022-05-20T08:16:03;2022-05-19T13:28:53
3;984919c5-3daf-4755-91b8-705a93bd7b6d;2022-05-19T15:47:04;2022-05-19T12:18:49
4;ffd89528-eb03-45c6-a0f8-47cb54a097ec;2022-05-19T16:44:24;2022-05-19T13:38:34
5;30f0e7da-47ba-4044-9762-7be33b276551;2022-05-20T06:44:19;2022-05-19T14:09:16
6;02be0e4e-9829-4fc1-88c1-cc7321130ebf;2022-05-19T16:20:32;2022-05-19T21:08:30
7;1bad1695-0c72-45c2-a287-89c89035efd0;2022-05-19T17:57:37;2022-05-19T23:20:55
8;c97595ab-c8ee-4d47-9054-1f5e792ba843;2022-05-20T06:54:32;2022-05-20T04:49:10
9;24425273-7a3f-4945-a6d1-3b11f959b850;2022-05-20T08:03:50;2022-05-19T18:00:40
10;c3adbb7b-a827-4c56-8ad2-f90aece40125;2022-05-19T14:35:47;2022-05-20T07:44:23
